geometry,lon,lat
POINT (22.31058834700015 -16.463256789999754),22.31058834700015,-16.463256789999754
POINT (22.31058834700015 -16.45325678999975),22.31058834700015,-16.45325678999975
POINT (22.31058834700015 -16.44325678999975),22.31058834700015,-16.44325678999975
POINT (22.31058834700015 -16.43325678999975),22.31058834700015,-16.43325678999975
POINT (22.31058834700015 -16.423256789999748),22.31058834700015,-16.423256789999748
POINT (22.31058834700015 -16.413256789999743),22.31058834700015,-16.413256789999743
POINT (22.31058834700014 -15.15325678999955),22.31058834700014,-15.15325678999955
POINT (22.31058834700014 -15.143256789999548),22.31058834700014,-15.143256789999548
POINT (22.31058834700014 -15.133256789999542),22.31058834700014,-15.133256789999542
POINT (22.31058834700014 -15.123256789999541),22.31058834700014,-15.123256789999541
POINT (22.31058834700014 -15.113256789999543),22.31058834700014,-15.113256789999543
POINT (22.31058834700014 -15.103256789999541),22.31058834700014,-15.103256789999541
POINT (22.32058834700015 -16.463256789999754),22.32058834700015,-16.463256789999754
POINT (22.32058834700015 -16.45325678999975),22.32058834700015,-16.45325678999975
POINT (22.32058834700015 -16.44325678999975),22.32058834700015,-16.44325678999975
POINT (22.32058834700015 -16.43325678999975),22.32058834700015,-16.43325678999975
POINT (22.320588347000147 -15.163256789999549),22.320588347000147,-15.163256789999549
POINT (22.320588347000147 -15.15325678999955),22.320588347000147,-15.15325678999955
POINT (22.320588347000147 -15.143256789999548),22.320588347000147,-15.143256789999548
POINT (22.320588347000147 -15.133256789999542),22.320588347000147,-15.133256789999542
POINT (22.320588347000147 -15.123256789999541),22.320588347000147,-15.123256789999541
POINT (22.320588347000147 -15.113256789999543),22.320588347000147,-15.113256789999543
POINT (22.320588347000147 -15.103256789999541),22.320588347000147,-15.103256789999541
POINT (22.320588347000147 -15.093256789999538),22.320588347000147,-15.093256789999538
POINT (22.330588347000152 -16.473256789999752),22.330588347000152,-16.473256789999752
POINT (22.330588347000152 -16.463256789999754),22.330588347000152,-16.463256789999754
POINT (22.330588347000152 -15.173256789999552),22.330588347000152,-15.173256789999552
POINT (22.330588347000152 -15.163256789999549),22.330588347000152,-15.163256789999549
POINT (22.330588347000152 -15.15325678999955),22.330588347000152,-15.15325678999955
POINT (22.330588347000152 -15.143256789999548),22.330588347000152,-15.143256789999548
POINT (22.330588347000152 -15.133256789999542),22.330588347000152,-15.133256789999542
POINT (22.330588347000152 -15.123256789999541),22.330588347000152,-15.123256789999541
POINT (22.330588347000152 -15.113256789999543),22.330588347000152,-15.113256789999543
POINT (22.330588347000152 -15.103256789999541),22.330588347000152,-15.103256789999541
POINT (22.330588347000152 -15.093256789999538),22.330588347000152,-15.093256789999538
POINT (22.330588347000152 -15.083256789999535),22.330588347000152,-15.083256789999535
POINT (22.34058834700015 -15.173256789999552),22.34058834700015,-15.173256789999552
POINT (22.34058834700015 -15.163256789999549),22.34058834700015,-15.163256789999549
POINT (22.34058834700015 -15.15325678999955),22.34058834700015,-15.15325678999955
POINT (22.34058834700015 -15.143256789999548),22.34058834700015,-15.143256789999548
